# filename: match_astrom_342.1914_-0.90194_run4198.dat 
# nominal center (used for x,y conversion): 342.191375, -0.901944
# source of interest
#   master_objid: 8647475119823389164
#    master_pos: 342.191518, -0.902013
#   fiducal master location (delta ra, delta dec): 0.318662, -0.248112
# converted source location (delta ra, delta dec): 0.263502, -0.155628
# source location (ra, dec): 342.191493, -0.901988
# source error (raerr, decerr): 0.026420, 0.024358
# observation time (day): 736.900364
# t0 (day): 52197.262300
master_objid,objid,master_ra,master_dec,master_dra,master_ddec,master_raerr,master_decerr,master_radeccov,ra,dec,dra,ddec,raerr,decerr,radeccov,master_rmag,rmag
8647475119823389618,8658188314445283670,342.210036,-0.907648,41.656729,-20.533212,0.007403,0.007395,0.0,342.210071,-0.907654,41.735128,-20.554308,0.043693,0.042385,0.0,21.099886,20.953159
8647475119823389620,8658188314445283671,342.210512,-0.910106,42.720648,-29.380644,0.027540,0.026522,0.0,342.210487,-0.910086,42.662898,-29.311092,0.152511,0.156059,0.0,21.152260,21.290380
8647475119823389621,8658188314445283673,342.209343,-0.909386,40.109115,-26.788788,0.019365,0.020196,0.0,342.209358,-0.909344,40.143849,-26.637768,0.144040,0.096127,0.0,22.195902,22.253103
8647475119823389565,8658188314445283636,342.183637,-0.914966,-17.273380,-46.879056,0.008979,0.010328,0.0,342.183665,-0.914948,-17.211210,-46.813428,0.037822,0.047929,0.0,20.136536,20.240822
8647475119823389165,8658188314445283644,342.189802,-0.901549,-3.511421,1.422252,0.191700,0.144521,0.0,342.189679,-0.901310,-3.785169,2.283948,0.395799,0.269388,0.0,21.542471,22.079834
8647475119823389173,8658188314445283648,342.194813,-0.888265,7.674833,49.244688,0.006734,0.007008,0.0,342.194840,-0.888246,7.735619,49.313124,0.041013,0.044076,0.0,20.986675,20.951164
8647475119823388908,8658188314445283657,342.201877,-0.915185,23.442900,-47.666736,0.012619,0.015157,0.0,342.201884,-0.915191,23.460357,-47.686176,0.068518,0.135048,0.0,21.137270,21.267450
8647475119823389602,8658188314445283659,342.203133,-0.923368,26.247640,-77.125932,0.027780,0.029326,0.0,342.203201,-0.923382,26.398722,-77.175504,0.125185,0.119318,0.0,22.141586,22.321754
8647475119823389847,8658188314445283619,342.167842,-0.905494,-52.531978,-12.780288,0.035707,0.048477,0.0,342.167835,-0.905633,-52.549368,-13.278672,0.217889,0.763620,0.0,21.668196,21.502573
8647475119823389108,8658188314445283624,342.171765,-0.913156,-43.775882,-40.360896,0.014343,0.013873,0.0,342.171780,-0.913141,-43.740991,-40.306104,0.079813,0.086096,0.0,21.767469,21.800747
